"","0h_01","0h_02","0h_03","0h_04","0h_05","0h_06","4h_01","4h_02","4h_03","4h_04","4h_05","4h_06","24h_01","24h_02","24h_03","24h_04","24h_05","24h_06"
"l-argininosuccinic acid",21.1357097025072,21.9571237631965,20.7262454002302,21.5261058978164,21.5333430909539,21.0886761629208,NA,19.9202834551907,17.2364175019073,18.6757897600308,17.0813700812591,18.3309837345736,17.1577620926045,20.0493953606013,20.1017183315569,18.7445831625007,20.0093857396008,19.729082265001
"2-hydroxydecanoic acid",9.90199049574792,10.3333054633075,NA,8.95795040910092,9.27302559593091,8.29134401496098,10.8129257136203,10.3329411366924,10.4126673497958,9.99028096331122,10.1652236841046,9.06385038466484,10.7710766139496,10.726513467688,8.37572226502527,9.82694646877637,9.67868479543941,9.96489632032729
"4-carbamoyl-2-acetamidobutanoic acid",10.2575326435831,9.91724804116141,9.41690656801214,9.94127784195004,9.6117900790628,10.0484289961023,NA,NA,6.93431091468961,8.55259624437785,NA,4.98819784160231,8.70180207020043,7.35003082936481,9.71539999946707,7.53404311325778,6.29577229423183,9.02448238493272
"l-glutamic acid",15.2591321239394,15.0273242436242,15.0637175954435,14.9798388251715,15.2008780860183,14.9618521517117,14.6975468339349,14.8044416830632,14.7813146634391,15.0970746952464,14.6998475589983,14.9952698763195,15.1893808291134,14.9544109743823,16.2036822409984,14.9349783782647,14.9870440211738,15.232925172192
"barbituric acid",14.4219960071555,15.0580387850959,14.8569461666525,14.4891863342026,14.9391191827663,15.2157204821794,14.1064554515709,12.7198088037611,14.0903510170605,12.8932871764665,12.8332868804533,13.7829868175617,14.4700421515321,14.8323223989661,14.4156519964122,14.439677390825,14.2796184321416,14.0676957776475
"n-methylnicotinamide",12.1098146631233,12.207776843852,12.2007293517832,12.0853221375315,12.1095266513024,12.0055278510023,11.684410986771,11.3013816596554,11.5535703063527,11.6277274165091,12.063099885797,11.6304747962703,11.8657906852608,12.0596124516908,11.6410769369598,12.3101701892247,11.8146257685371,11.8747392749219
"3-amino-2-methylpropanoic acid",21.5102976883939,21.6794882740039,NA,20.7894499231186,20.9603955250621,21.4349097800668,20.1128725475997,22.1302870917411,22.1278244000047,21.7215067382748,21.5873828751899,NA,22.0344218661548,21.9567379942059,21.8611172553399,21.8575780039458,21.0905251352251,22.0378265389823
"xanthosine",NA,3.82291576344511,NA,1.90663644807128,NA,NA,NA,4.83088793512447,NA,NA,2.92596363396022,NA,NA,NA,NA,NA,NA,NA
"1,5-anhydro-d-glucitol",19.953723943762,22.8690611672345,20.5934078158936,20.9158300853589,21.3979307562164,21.5382612820547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-methyl-l-histidine",20.4473574981349,NA,20.4371597531026,20.8690045105655,21.155200088541,20.6102671072705,NA,20.6554134947043,20.6923929663249,20.115501432374,NA,20.4915246740235,20.971618541985,21.0218230791405,20.9758606996538,20.7937011720545,21.1354797265449,20.9405319902873
