"","0h_01","0h_02","0h_03","0h_04","0h_05","0h_06","4h_01","4h_02","4h_03","4h_04","4h_05","4h_06","24h_01","24h_02","24h_03","24h_04","24h_05","24h_06"
"A0A0A6YW53",24.87080574,25.92001534,25.24822426,25.78464127,25.08957863,24.85430527,25.80459404,24.07412148,25.45676041,25.05315399,24.50746536,25.4585762,25.43901443,25.56273079,25.39141464,24.56481361,25.80301857,25.86024666
"Q3TQS1",24.86803436,23.64031982,24.64779091,24.50079155,24.95575333,25.13266754,25.50272942,24.82386208,24.49374962,24.81601906,24.1187973,24.79548073,25.97340965,25.08655357,24.14191818,24.70215416,25.949646,25.87468147
"A0A0A6YWX1",26.08867264,25.69728851,26.35194969,24.29257393,26.51550865,26.10691261,26.10960579,25.87783241,26.62100792,26.60455894,26.23939705,24.08728218,26.39826012,26.17558098,26.07418633,26.08389473,26.30877876,26.01612282
"A0A0A6YX18",27.45261955,27.51765823,27.5747757,27.50241089,27.45583534,27.60942841,27.61512375,27.63720131,27.66193771,27.48907089,27.48638725,27.53289413,27.68431664,27.67161942,27.72708893,27.73369789,27.79172516,27.74772072
"A0A0A6YX73",26.63242531,26.85483742,26.67572975,26.71148491,26.19901085,26.62002945,26.83713531,26.66030502,26.85578728,26.77152824,26.58147049,26.52944183,26.25004768,26.38534927,26.24287224,26.11354637,26.51020622,26.54037857
"E9Q589",27.06753349,26.98771858,27.0287571,26.81897163,26.89746857,26.82116318,27.03475189,26.9442482,27.15015602,26.67411423,26.94882202,27.17578888,26.97377586,26.95082474,27.1513176,26.87701225,27.00420952,27.26302338
"A0A0B4J1E2",27.41425514,27.36661339,27.34595871,27.56993294,27.35329628,27.40145493,27.18101311,27.02791405,27.31613731,27.002388,27.13330078,27.10489655,27.16672134,26.89769936,27.03936195,26.93595695,26.91044998,27.13251686
"A0A0F6AIX5",26.5796032,26.68565369,26.63588715,26.91216469,26.32803726,26.62477684,25.06307602,26.41356087,26.65430832,26.54148674,26.43012238,26.76230621,26.62491608,26.37994003,26.18260574,26.48654175,26.35460854,26.7395668
"A2AKI5",26.23132515,26.22879601,26.31129265,26.26218033,26.45202255,26.34277534,26.52243996,26.28020859,26.1054554,26.35816956,26.57294083,26.25731468,26.39131165,26.56884575,26.5883503,26.54755783,26.46772957,26.25997353
"Q61935",28.35098076,28.20391846,24.48381805,27.52395058,24.74254799,25.0199604,24.80242157,23.91991043,24.65959167,24.59089851,23.69693947,25.38144684,25.54517937,24.2685318,25.12554741,24.11766434,24.70470238,25.89195061
"A0A0G2JDP0",25.18866539,23.9625473,25.48241806,25.45186424,24.92928696,24.95349312,24.1568985,25.04673767,25.05903625,25.30162811,24.98206902,24.69359779,24.58498764,25.7875576,25.44138145,24.95168495,25.02695274,25.65436745
"Q05DL4",24.73682022,25.58978462,24.03213882,24.91752815,24.6158123,24.49286842,25.93289757,24.97067642,23.93872833,26.24789619,24.90232086,26.47820091,26.13288879,25.93757439,26.03904724,26.42046928,26.37059402,26.16869164
"A0A0G2JDW7",28.8696785,29.21018028,24.65592957,28.81396675,25.17902565,23.87308884,25.40504646,24.52634239,29.33685875,29.47152138,29.25885201,24.76550865,29.24272728,29.1662178,29.30897522,24.4238205,29.31949997,29.31988716
"A0A1W2P6X1",24.25213814,24.2479496,24.48937798,24.90255928,25.41105461,23.81305504,25.00088501,25.36409378,24.66841316,25.35612106,26.02103233,25.37228775,26.72145462,24.32354164,25.17660713,24.39706612,25.66002083,25.06377602
"A0A0G2JER9",24.70890617,24.73076057,25.03992271,24.24834633,25.75800133,26.33829308,26.10769272,23.7217598,24.92459297,26.05736351,24.25825882,26.51444054,24.75295067,25.01362038,25.14123726,24.03767776,24.75466347,24.88295937
"Q8K2Z1",24.65208817,31.03459358,26.04895592,31.13760567,31.21569824,31.09942627,24.26893997,25.75152588,24.29601288,24.09435081,25.44509697,24.27774048,23.73247528,24.87016678,31.25928879,24.9171505,30.95497704,24.92804146
"A0A0G2JFB2",27.22554588,27.29614067,27.02696609,27.30373764,27.03674316,27.23031807,26.91934395,27.09436226,27.2877121,27.16202164,26.52022362,26.77039337,27.09335518,26.87373161,27.31397629,27.23562241,27.44379616,27.1399498
"A0A0G2JFJ6",26.8267498,26.84409904,26.70833015,26.62936974,26.73853683,27.03244019,26.88599777,26.94514275,26.86076736,26.70358658,26.6904583,27.04040718,26.70688248,26.62672806,26.80427361,26.51021957,26.90747452,26.75417137
"Q8K0C8",25.30055809,25.2111187,26.40236664,24.11533928,24.5448246,24.5729351,24.09189796,24.89392471,24.78126144,24.33864594,24.75635147,24.36955643,25.30637932,23.72823143,26.28066826,26.08411789,24.7664814,26.40714073
"Q0P6B2",28.40876007,28.3923111,28.38294411,28.47452354,28.46404076,28.34468842,28.408638,28.40940857,28.54336739,28.56819344,28.51574135,28.44387436,28.168396,28.18947411,28.21673965,28.19638634,28.25042725,28.25096893
"A0A0G2JGD2",24.46984291,30.41215706,30.52570724,25.4196167,25.41988182,23.82924843,30.58826065,25.40824699,30.2395668,30.60372925,24.2788105,23.83811378,24.31953812,30.50937462,30.69760132,24.52371407,30.73036385,30.54047012
"A0A0G2JGL8",26.11475754,25.7537632,26.04593468,25.63245201,24.90361786,26.39959717,26.12401962,25.87389565,26.03225136,25.72738838,26.10667419,26.14476013,26.22247124,26.37697983,26.13116264,24.78835869,25.56235313,25.97901917
